38, 1, -1
2261, 1, 1
52, 2, 1
75, 2, -1
53, 3, 1
78, 3, -1
52, 4, 1
54, 4, -1
53, 5, 1
56, 5, -1
65, 6, -1
1942, 6, 1
75, 7, 1
84, 7, -1
78, 8, 1
87, 8, -1
54, 9, 1
84, 9, -1
56, 10, 1
87, 10, -1
88, 11, -1
4107, 11, 1
88, 12, -1
1935, 12, 1
3924, 12, 1
3926, 12, -1
106, 13, -1
2771, 13, 1
108, 14, -1
127, 14, 1
133, 15, -1
3087, 15, 1
137, 16, -1
141, 16, 1
144, 17, -1
2122, 17, 1
2171, 17, -1
3255, 17, 1
143, 18, -1
144, 18, 1
143, 19, -1
144, 19, 1
137, 20, -1
139, 20, 1
137, 21, -1
139, 21, 1
147, 22, 1
150, 22, -1
148, 23, -1
3241, 23, 1
124, 24, -1
161, 24, 1
2143, 24, 1
3078, 24, -1
177, 25, 1
179, 25, -1
177, 26, 1
179, 26, -1
180, 27, -1
4225, 27, 1
183, 28, -1
2442, 28, 1
185, 29, 1
2259, 29, -1
204, 30, -1
206, 30, 1
295, 31, 1
2141, 31, -1
3075, 31, 1
3191, 31, -1
145, 32, -1
2759, 32, 1
209, 33, -1
212, 33, 1
212, 34, -1
3756, 34, 1
218, 35, 1
3191, 35, -1
218, 36, -1
300, 36, 1
239, 37, -1
3255, 37, 1
224, 38, -1
237, 38, 1
224, 39, -1
237, 39, 1
239, 40, 1
241, 40, -1
162, 41, -1
2088, 41, 1
272, 42, -1
3325, 42, 1
272, 43, -2
1935, 43, 2
272, 44, -1
274, 44, 1
2141, 44, -1
3075, 44, 1
273, 45, -1
275, 45, 1
2143, 45, -1
3078, 45, 1
274, 46, -1
4107, 46, 1
4215, 46, 1
275, 47, -1
4109, 47, 1
4218, 47, 1
137, 48, 1
2112, 48, -1
3748, 48, 1
137, 49, 1
3803, 49, -1
143, 50, 1
2759, 50, -1
316, 51, 1
2005, 51, 1
2455, 51, -1
315, 52, 1
316, 52, -1
323, 53, 1
2789, 53, -1
324, 54, -1
325, 54, 1
344, 55, -1
346, 55, 1
3924, 55, 1
3926, 55, -1
364, 56, -1
372, 56, 1
3924, 56, 1
3926, 56, -1
396, 57, -1
4244, 57, 1
391, 58, -1
393, 58, 1
392, 59, -1
394, 59, 1
391, 60, 1
4244, 60, -1
395, 61, 1
396, 61, -1
398, 62, -1
399, 62, 1
299, 63, 1
399, 63, -1
3630, 64, -1
3690, 64, 2
3753, 64, 1
3631, 65, -1
3693, 65, 2
3754, 65, 1
3006, 66, -1
4359, 66, 1
4464, 66, -1
3007, 67, -1
4360, 67, 1
4466, 67, -1
1976, 68, -1
3137, 68, 1
4454, 68, -1
2446, 69, -1
3138, 69, 1
4454, 69, -1
1981, 70, 1
1994, 70, -1
1984, 71, -1
3758, 71, 1
1930, 72, -1
1932, 72, 1
132, 73, 1
1931, 73, -1
2141, 73, -1
3075, 73, 1
2029, 74, 1
2939, 74, -1
4457, 74, -1
2939, 75, -1
2997, 75, 1
4466, 75, -1
2893, 76, -1
2993, 76, 1
4466, 76, -1
2029, 77, 1
2893, 77, -1
4457, 77, -1
2024, 78, 1
2935, 78, -1
4457, 78, -1
2028, 79, 1
2938, 79, -1
4457, 79, -1
2027, 80, 1
2936, 80, -1
4457, 80, -1
2938, 81, -1
2996, 81, 1
4466, 81, -1
2928, 82, -1
3000, 82, 1
4466, 82, -2
306, 83, -1
2143, 83, -1
3078, 83, 1
4278, 83, 1
1986, 84, -1
4575, 84, 1
303, 85, 1
308, 85, -1
116, 86, -1
2005, 86, 1
4010, 86, 1
1981, 87, 1
2003, 87, -2
1982, 88, 1
2005, 88, -2
1983, 89, 1
2008, 89, -2
256, 90, -1
2008, 90, 1
3832, 90, 1
258, 91, -1
2008, 91, 1
2589, 91, 1
267, 92, -1
2008, 92, 1
2618, 92, 1
260, 93, -1
2008, 93, 1
4306, 93, 1
264, 94, -1
2008, 94, 1
3996, 94, 1
265, 95, -1
2008, 95, 1
3564, 95, 1
2003, 96, -1
3667, 96, 1
2005, 97, -1
3670, 97, 1
4004, 98, -1
4009, 98, 1
4006, 99, -1
4010, 99, 1
2018, 100, 1
2019, 100, -1
2018, 101, 1
2019, 101, -1
3338, 101, 1
3369, 101, -1
2032, 102, -1
2049, 102, 1
2003, 103, -1
2031, 103, 1
3017, 103, -1
2031, 104, 1
2032, 104, -1
2030, 105, 1
2031, 105, -1
1989, 106, 1
2045, 106, -1
3145, 106, 1
2005, 107, -1
2044, 107, 1
